,activity,person_id,x_max,x_min,x_mean,y_max,y_min,y_mean,z_max,z_min,z_mean,n_max,n_min,n_mean
0,2.0,0,0.7757213711738586,0.6512228846549988,0.7431602030992508,0.15322890877723694,0.09576806426048279,0.12832921035587788,9.557653427124023,9.442731857299805,9.51695203781128,91.93663361596016,89.60725236013957,91.14301791424245
1,2.0,0,0.7565677165985107,0.7182605266571045,0.7374141216278076,0.1628057211637497,0.09576806426048279,0.12162544578313828,9.576807022094727,9.47146224975586,9.527486515045165,92.3008344411398,90.25632050474174,91.33247387757292
2,2.0,0,0.7948749661445618,0.7182605266571045,0.7412448495626449,0.1628057211637497,0.047884032130241394,0.12449848763644696,9.883264541625977,9.509769439697266,9.557653427124023,98.19710906444811,91.00480777247334,91.92076690597527
3,2.0,0,0.7661445140838623,0.7182605266571045,0.7422025203704834,0.14365209639072418,0.08619125932455063,0.11731588281691074,9.586383819580078,9.509769439697266,9.535626792907715,92.43528884525792,90.98096183976038,91.49358986619157
4,2.0,0,0.7661445140838623,0.6991068720817566,0.7431601971387863,0.14365209639072418,0.08619125932455063,0.11923124343156814,9.605537414550781,9.490615844726562,9.529880714416503,92.76830643382469,90.64528441855789,91.38623728833993
5,2.0,0,0.7757213711738586,0.7086837291717529,0.7426813632249832,0.13407529890537262,0.08619125932455063,0.11875240430235863,9.59596061706543,9.509769439697266,9.538020992279053,92.64421593682341,90.99499425612164,91.5404792370593
6,2.0,0,0.7661445140838623,0.727837324142456,0.7412448406219483,0.15322890877723694,0.09576806426048279,0.1283292096108198,9.567230224609375,9.500192642211914,9.539936351776124,92.1222650662548,90.82486266527276,91.57687638876692
7,2.0,0,0.7661445140838623,0.7086837291717529,0.742681360244751,0.15322890877723694,0.09576806426048279,0.12162544578313828,9.586383819580078,9.500192642211914,9.541372871398925,92.45574131598069,90.82486266527276,91.60511547921409
8,2.0,0,0.7661445140838623,0.727837324142456,0.7417236804962158,0.1628057211637497,0.1149216815829277,0.13599065504968166,9.567230224609375,9.490615844726562,9.527007675170898,92.07484833399185,90.6195124683663,91.33320760179802
9,2.0,0,0.7661445140838623,0.7182605266571045,0.742681360244751,0.1628057211637497,0.10534487664699554,0.13215993344783783,9.605537414550781,9.481039047241211,9.537542152404786,92.8478235540575,90.49771475657077,91.53514599976928
10,2.0,0,0.7661445140838623,0.727837324142456,0.7445967197418213,0.15322890877723694,0.10534487664699554,0.13072341233491896,9.557653427124023,9.500192642211914,9.527486515045165,91.92737039105056,90.79890728269773,91.34505719692787
11,2.0,0,0.7661445140838623,0.7086837291717529,0.7383718013763427,0.14365209639072418,0.08619125932455063,0.12258312627673149,9.59596061706543,9.481039047241211,9.537542152404786,92.62770720783108,90.44938087523413,91.52610747050326
12,2.0,0,0.7852981686592102,0.6991068720817566,0.7441178828477859,0.1628057211637497,0.10534487664699554,0.13168109394609928,9.66299819946289,9.385271072387695,9.528923034667969,93.88026080719158,88.63103645838869,91.37463533345652
13,2.0,0,0.7661445140838623,0.727837324142456,0.7445967197418213,0.1628057211637497,0.08619125932455063,0.13072341307997704,9.576807022094727,9.490615844726562,9.535147953033448,92.3082633730394,90.64776073118897,91.49164550817173
14,2.0,0,0.7948749661445618,0.7374141216278076,0.7685387402772903,0.181959331035614,0.12449848651885986,0.15083470568060875,9.557653427124023,9.47146224975586,9.513600158691407,91.94176966761212,90.30749756119306,91.12277183791602
15,2.0,0,0.7948749661445618,0.7374141216278076,0.766144534945488,0.17238251864910126,0.14365209639072418,0.15849615260958672,9.557653427124023,9.461885452270508,9.50498104095459,92.00707094766256,90.1203069464848,90.95756076030283
16,2.0,0,0.7948749661445618,0.7469909191131592,0.7685387372970581,0.19153612852096558,0.12449848651885986,0.15418659001588822,9.567230224609375,9.47146224975586,9.514557838439941,92.14235068562502,90.34702688277497,91.14231174587414
17,2.0,0,0.8044517636299133,0.7469909191131592,0.7694964170455932,0.181959331035614,0.12449848651885986,0.15322890803217887,9.576807022094727,9.47146224975586,9.522219276428222,92.32284607970111,90.30162778314686,91.2892944314837
18,2.0,0,0.7948749661445618,0.7469909191131592,0.766144534945488,0.17238251864910126,0.12449848651885986,0.1527500681579113,9.548076629638672,9.490615844726562,9.524134635925293,91.80309646394915,90.67940245343313,91.32007402910338
19,2.0,0,0.7852981686592102,0.727837324142456,0.7608772933483123,0.17238251864910126,0.12449848651885986,0.14556746259331704,9.548076629638672,9.461885452270508,9.52078275680542,91.75879796004871,90.14396946108488,91.24630294797518
20,2.0,0,0.8044517636299133,0.7374141216278076,0.764708012342453,0.181959331035614,0.1149216815829277,0.1503558661788702,9.691728591918945,9.481039047241211,9.529401874542236,94.57280201596234,90.51532415949345,91.41934190585437
21,2.0,0,0.7757213711738586,0.7374141216278076,0.7546523600816727,0.181959331035614,0.12449848651885986,0.14748282432556153,9.557653427124023,9.461885452270508,9.518388557434083,91.9542429409656,90.1203069464848,91.1918516463837
22,2.0,0,0.7948749661445618,0.7469909191131592,0.7666233807802201,0.20111294090747833,0.09576806426048279,0.15131354555487633,9.567230224609375,9.490615844726562,9.524134635925293,92.1222650662548,90.70324849060654,91.32083527319496
23,2.0,0,0.7852981686592102,0.7374141216278076,0.7580042511224747,0.19153612852096558,0.12449848651885986,0.15227122902870177,9.557653427124023,9.490615844726562,9.52078275680542,91.91599771827677,90.66216000775053,91.24397338155055
24,2.0,0,0.7948749661445618,0.7374141216278076,0.763271489739418,0.17238251864910126,0.13407529890537262,0.14891934618353844,9.557653427124023,9.461885452270508,9.515515518188476,91.97396177719651,90.18560822653524,91.15062112260391
25,2.0,0,0.7852981686592102,0.727837324142456,0.7613561391830445,0.17238251864910126,0.10534487664699554,0.1450886234641075,9.557653427124023,9.481039047241211,9.521261596679688,91.97863923961295,90.47157594703512,91.2562678077736
26,2.0,0,0.7852981686592102,0.7182605266571045,0.7575254142284393,0.17238251864910126,0.10534487664699554,0.14460978247225284,9.576807022094727,9.481039047241211,9.521261596679688,92.29872499127772,90.5274305538095,91.25032007130693
27,2.0,0,0.7948749661445618,0.7469909191131592,0.7671022146940232,0.181959331035614,0.12449848651885986,0.1546654298901558,9.567230224609375,9.442731857299805,9.521740436553955,92.19022608532612,89.75821556346115,91.27730267263198
